Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,2000,0.9833333333333333,0.9302325581395349,0.9743589743589743,0.6956521739130435,0.7954545454545454,1.0
real,fake,2000,0.4375,0.84375,0.9130434782608695,0.575,0.41025641025641024,1.0
fake,real,2000,0.9166666666666666,0.7441860465116279,0.8205128205128205,0.2391304347826087,0.4090909090909091,1.0
fake,fake,2000,0.8125,0.96875,0.9130434782608695,0.875,0.8461538461538461,1.0
real,real,2000,1.0,0.975609756097561,0.9782608695652174,0.5526315789473685,0.8181818181818182,1.0
real,fake,2000,0.47619047619047616,0.8181818181818182,0.9166666666666666,0.6590909090909091,0.32608695652173914,1.0
fake,real,2000,0.9814814814814815,0.7073170731707317,0.782608695652174,0.42105263157894735,0.3181818181818182,1.0
fake,fake,2000,0.9047619047619048,0.75,0.8333333333333334,0.8409090909090909,0.9130434782608695,1.0
real,real,2000,0.98,0.9387755102040817,0.9411764705882353,0.6326530612244898,0.8478260869565217,1.0
real,fake,2000,0.5952380952380952,0.725,0.9310344827586207,0.5714285714285714,0.42857142857142855,1.0
fake,real,2000,0.88,0.5714285714285714,0.8235294117647058,0.22448979591836735,0.3695652173913043,1.0
fake,fake,2000,0.9047619047619048,0.8,0.8275862068965517,0.7714285714285715,0.8979591836734694,1.0
real,real,2000,0.9433962264150944,0.9795918367346939,0.9047619047619048,0.675,0.9347826086956522,1.0
real,fake,2000,0.6,0.7547169811320755,0.9523809523809523,0.6511627906976745,0.3333333333333333,1.0
fake,real,2000,1.0,0.4897959183673469,0.8571428571428571,0.35,0.391304347826087,1.0
fake,fake,2000,0.825,0.8301886792452831,0.9285714285714286,0.8837209302325582,0.9111111111111111,1.0
real,real,500,1.0,0.975,0.9423076923076923,0.6458333333333334,0.7755102040816326,1.0
real,fake,500,0.2708333333333333,0.7391304347826086,0.8085106382978723,0.23684210526315788,0.5957446808510638,1.0
fake,real,500,0.9782608695652174,0.65,0.8269230769230769,0.20833333333333334,0.9387755102040817,1.0
fake,fake,500,0.8958333333333334,0.7608695652173914,0.7872340425531915,0.7631578947368421,0.8297872340425532,1.0
real,real,2000,0.9782608695652174,1.0,0.95,0.782608695652174,0.8627450980392157,1.0
real,fake,2000,0.5208333333333334,0.5581395348837209,0.9545454545454546,0.7441860465116279,0.4166666666666667,1.0
fake,real,2000,1.0,0.6590909090909091,0.75,0.2608695652173913,0.49019607843137253,1.0
fake,fake,2000,0.9166666666666666,0.6744186046511628,0.9318181818181818,0.8604651162790697,0.9375,1.0
